State,Statute,Law,Effective Date,Applicability,Consumer Rights,Enforcer,ComprehensiveLaw,Fines,Penalty Category,Detailed Penalties
Alabama,Ala. Code § 8-38-1 et seq.,None,"June 1, 2018",Applies to entities handling electronic sensitive personally identifiable information of Alabama residents. Triggered by unauthorized access posing harm.,"Access, correction, deletion, portability, opt-out",Attorney General,0,500000,Severe,"Violations are deemed unlawful trade practices under the Alabama Deceptive Trade Practices Act (ADTPA). Penalties include up to $500,000 per breach for willful violations and $5,000 per day for failing to comply with notification requirements. The Attorney General enforces the law exclusively and may recover actual damages, attorneys’ fees, and costs on behalf of affected individuals."
Alaska,Alaska Stat. § 45.48.010 et seq.,None,"July 1, 2009",Covers entities collecting or processing personal information of Alaska residents. Requires notification for unauthorized acquisition leading to potential harm.,"Access, deletion, opt-out",Attorney General,0,50000,High,"$500 per affected individual, total penalty may not exceed $50,000"
Arizona,Ariz. Rev. Stat. § 18-551 et seq.,None,"January 1, 2019",Applicable to entities processing sensitive personal information of Arizona residents. Notification required for breaches involving unauthorized access or acquisition.,"Access, deletion, portability, opt-out",Attorney General,0,10000,Medium,"Up to $10,000 per affected individual, total penalty may not exceed $500,000"
Arkansas,Ark. Code § 4-110-101 et seq.,None," July 16, 2005",Covers businesses and government entities handling personal data of residents. Notification triggered by unauthorized acquisition of unencrypted data.,"Access, correction, deletion, opt-out",Attorney General,0,10000,Medium,"Up to $10,000 per violation."
California,Cal. Civ. Code § 1798.80 et seq.; Cal. Health & Safety Code § 1280.15; Cal. Code Regs. tit. 22 § 79900 et seq.,California Consumer Privacy Act (CCPA),"January 1, 2003",Applies to businesses operating in California that handle personal information of residents. Breaches involving unencrypted data require notification.,"Access, portability, deletion, opt-out, non-discrimination","California Privacy Protection Agency (CPPA), California Department of Public Health, Attorney General",1,250000,Severe,"CCPA: Up to $2,500 per individual violation, Up to $7,500 per intentional violation, Private Right of Action up to $750 per consumer per incident or actual damages if greater. CMIA: No private right of action. Penalties include $15,000–$25,000 per patient for unauthorized access, $17,500 for repeat violations, $100/day for late notice, and up to $250,000 total per event."
Colorado,Colo. Rev. Stat. § 6-1-716,Colorado Privacy Act,"September 1, 2018",Entities processing personal information of Colorado residents must notify in case of unauthorized access or acquisition that compromises security.,"Access, correction, deletion, portability, opt-out",Attorney General,1,Varies,Varies,"Varies. The Colorado Attorney General may take legal action to enforce compliance, recover damages, or seek other appropriate relief. These provisions do not exempt entities from other laws."
Connecticut,Conn. Gen. Stat. § 36a-701b,Connecticut Data Privacy Act,"October 1, 2005",Businesses and individuals owning or licensing personal data of residents must notify upon unauthorized acquisition or breach of data security.,"Access, correction, deletion, portability, opt-out",Attorney General,1,Varies,Varies,Varies. Breached entities must provide 24 months of free identity theft protection if Social Security or taxpayer IDs are compromised. Noncompliance is considered an unfair trade practice enforceable by the attorney general.
Delaware,Del. Code Ann. tit. 6 § 12B-101 et seq.,Delaware Online and Personal Privacy Protection Act,"June 1, 2017",Applicable to businesses processing personal information of Delaware residents. Notification required for breaches involving unauthorized access.,"Access, correction, deletion, portability, opt-out",Attorney General,1,Varies,Varies,"Varies. The Attorney General may enforce compliance, recover damages, or seek other relief. Breached entities must provide 1 year of free credit monitoring if Social Security numbers are compromised unless an investigation determines no harm is likely. Compliance with other laws is still required."
Florida,Fla. Stat. § 501.171,Florida Digital Bill of Rights,"July 1, 2014","Covers entities managing personal data of Florida residents. Breaches affecting 500+ residents must be reported to the Attorney General.
","Access, deletion, correction, opt-out",Attorney General,1,500000,Severe,"Violations are treated as unfair trade practices. Civil penalties for failure to notify are $1,000/day for the first 30 days, $50,000/30 days up to 180 days, capped at $500,000 per breach. No private cause of action. Penalties go to the General Revenue Fund."
Georgia,Ga. Code § 10-1-910 et seq,None,"May 5, 2007","Applies to any entity collecting personal data of Georgia residents. Notification required for unauthorized access posing harm.
","Access, deletion, correction, opt-out",Attorney General,0,None,None,None.
